amino,atom,cluster,dist,angle,dihed,prob
ASP,CB,N2,0.899914917437127,66.3833245959512,87.0359699859852,0.446165359027042
ASP,CB,N2,1.1385917732053,88.3862411337839,100.509634142192,0.553834640972959
ASP,CB,N3,1.26914668623083,92.0865426168207,75.2143629752361,0.112780095095214
ASP,CB,N3,1.18282178727386,91.1726778347243,103.963425735202,0.664952205749286
ASP,CB,N3,1.02161985846006,80.9409570267226,94.4804524272352,0.222267699155499
ASP,C,N1,2.27186292134829,147.644107865169,136.781175280899,1
ASP,C,N2,2.26231271095363,144.101505741493,158.911097554545,0.462703645180624
ASP,C,N2,2.14576406437515,139.850397498207,-169.184900581627,0.198880416071963
ASP,C,N2,2.1952978059792,142.686500976789,-162.30527922181,0.338415938747413
ASP,C,N3,2.22678347617961,142.0147492188,162.152979943975,0.135928550092633
ASP,C,N3,2.19882441950719,142.880919229271,-165.758677671844,0.864071449907367
ASP,CG,N1,1.74163916897832,44.1503536061334,162.637000318169,0.289868749766558
ASP,CG,N1,1.62739906742376,29.1968750235286,16.7635762728849,0.26954201759412
ASP,CG,N1,2.33435880877797,88.9596591370471,96.3274551020507,0.309686086410342
ASP,CG,N1,1.80832941458544,46.3237445099439,-77.8609211140469,0.130903146228981
ASP,CG,N2,1.92100319303683,54.6770127704654,94.1972851215221,0.594251414747135
ASP,CG,N2,1.88819153950648,59.386849636711,51.7707266537498,0.405748585252866
ASP,CG,N3,1.84930943894018,54.1711027185268,49.0891417147634,0.238705052262026
ASP,CG,N3,1.88289796957849,59.3628003195581,58.2716317143159,0.427852533874793
ASP,CG,N3,2.47010969158138,94.9149753742124,91.4754753757037,0.149263681927822
ASP,CG,N3,1.80444090780239,50.6079246417864,141.043289077521,0.184178731935357
ASP,H,N1,2.64493949096594,132.170521517858,37.3963689682745,0.172437020961405
ASP,H,N1,2.76715232836981,149.854677461008,33.0148555712121,0.20818892626888
ASP,H,N1,2.6531835989073,141.76998244277,43.5272217627375,0.244094882215163
ASP,H,N1,2.43433712727591,128.883545055249,39.1574276718272,0.220212896598744
ASP,H,N1,2.22758309443852,117.925317276011,27.2166220403323,0.155066273955808
ASP,H,N2,2.67664190992526,138.286380147411,23.8401056719492,0.214603530810478
ASP,H,N2,2.30203263892661,121.644656568159,27.6415677653793,0.223853370530515
ASP,H,N2,2.59017494358177,137.558404228831,43.9444681277307,0.561543098659008
ASP,H,N3,2.63413304202259,134.315423608131,6.16403327446756,0.331050064707765
ASP,H,N3,2.557770422681,135.358522736298,40.7834764663882,0.668949935292235
ASP,N,N1,2.09249887640452,141.083507865169,13.4182202247191,1
ASP,N,N2,2.20939083528574,146.970317659238,14.9445093445214,1
ASP,N,N3,2.22956489283421,149.38863973698,18.696454396821,0.877728275183167
ASP,N,N3,2.24090340898462,148.910439436937,-6.97517190588045,0.122271724816833
ASP,OD1,N1,3.02123011701145,110.272831179811,95.8495954183249,0.227347880628479
ASP,OD1,N1,2.78612881765933,66.8499187689242,105.343157666524,0.22515831375749
ASP,OD1,N1,2.27484706453045,45.6448122253501,-145.114568442707,0.110688744778136
ASP,OD1,N1,2.08421505112032,46.0215267438463,-38.2567718583777,0.252004643562054
ASP,OD1,N1,2.20718012687448,63.8090591091249,-159.491310777052,0.18480041727384
ASP,OD1,N2,2.1793240382957,51.4617523087101,-10.4353076919438,0.263648009176629
ASP,OD1,N2,3.10361646007725,115.365641377941,94.1170589034822,0.106114424609101
ASP,OD1,N2,2.11543006462297,56.5780432212608,16.199184884508,0.191011653102686
ASP,OD1,N2,2.14962836991059,41.2306581265875,-152.030758387331,0.106987640764721
ASP,OD1,N2,2.72174570106331,60.7860420538668,117.712351983533,0.200593888623912
ASP,OD1,N2,2.25389946254605,67.4187619373149,-164.944778489478,0.131644383722948
ASP,OD1,N3,2.12200726393159,55.8447557008878,13.8480968426914,0.475727939690803
ASP,OD1,N3,2.3950807968885,48.5061883579051,13.676859956444,0.41397289686744
ASP,OD1,N3,3.16702738310205,116.242624957623,94.5940085968367,0.110299163441756
ASP,OD2,N1,2.79591699462972,31.8900374861078,147.869183084413,0.179633735373458
ASP,OD2,N1,3.09196640457206,72.1247753932691,108.473288851445,0.447590786067177
